,反应物,生成物
20261,0.15 Fe2O3 + 0.075 O2 + 1 SrCO3 + 0.7 TiO2 ,1 SrTi0.7Fe0.3O3 + 1 CO2
20262,5-y Bi + x+y Cu + 8 Se ,1 Cux+yBi5-ySe8
20263,1 Gd2O3 + x SnO2 + 2-x TiO2 ,1 Gd2Ti2-xSnxO7
20264,1 La2O3 + 2 SnO2 ,1 La2Sn2O7
20265,2 (NH4)2HPO4 + 1-x FeC2O4\u00b72H2O + x MnC2O4\u00b72H2O + 1 Na2CO3 + 0.5 O2 ,1 Na2Fe1-xMnxP2O7 + 3 CO2 + 5 H2O + 4 NH3
20266,4 LiOH\u00b7H2O + 5 TiO2 ,1 Li4Ti5O12 + 6 H2O
20267,0.166 Cr2O3 + 0.166 Fe2O3 + 0.166 Mn2O3 + 0.5 Na2O2 ,1 NaFe1/3Cr1/3Mn1/3O2 + 0.249 O2
20268,2 BaCO3 + 1 Li2CO3 + 12 NH4H2PO4 + 7 PbO ,1 Pb7Ba2(Li2(P2O7)2(P4O13)2) + 3 CO2 + 18 H2O + 12 NH3
20269,1 Li2CO3 + 12 NH4H2PO4 + 9 PbO ,1 Pb9(Li2(P2O7)2(P4O13)2) + 1 CO2 + 18 H2O + 12 NH3
20270,3 Bi2O3 + 1 ZnO ,1 Bi6ZnO7(P/AsO4)2 + 1.5 O2
20271,0.9 CeO2 + 0.025+0.5*x O2 + 1-x SrCO3 + 0.05 Yb2O3 ,1 Sr1-xCe0.9Yb0.1O3 + 1-x CO2
20272,3-4*x CaCO3 + 0.96 CaF2 + 0.04 EuF2 + 4*x MnO + 2 SiO2 ,1 (Ca0.99-xEu0.01Mnx)4Si2O7F2 + 3-4*x CO2
20273,1 Al2O3 + 1.5 Ga2O3 + 1.5 Y2O3 ,"1 Y3Al2Ga3O12 ; target Y3Al2Ga3O12 with additives Ce, Cr via CeO2, Cr2O3 ; target Y3Al2Ga3O12 with additives Ce, Cr via CeO2, Cr2O3"
20274,1-x BaCO3 + 0.5*x Dy2O3 + 0.5*x Sc2O3 + 1-x TiO2 ,1 Ba1-xDyxTi1-xScxO3 + 1-x CO2
20275,0.5-0.5*x Mn2O3 + 2*x MoO3 + 1-x V2O5 ,1 Mn1-xMo2xV2-2xO6 + 0.25-0.25*x O2
20276,x Bi + 3 Mg + 2-x Sb ,1 Mg3Sb2-xBix
20277,2 CeO2 + 0.05 Eu2O3 + 0.95 Y2O3 ,1 Eu0.1Y1.9Ce2O7
20278,1.9 CeO2 + 0.05 Eu2O3 + 0.025 O2 + 1 Y2O3 ,1 Eu0.1Y2Ce1.9O7
20279,2-x CeO2 + 0.5*x Eu2O3 + 0.25*x O2 + 1 Y2O3 ,1 EuxY2Ce2-xO7
20280,1 BaCO3 + 0.233 Co3O4 + 0.15-0.5*x Fe2O3 + 0.308-0.25*x O2 + x SnO2 ,1 BaCo0.7Fe0.3-xSnxO3 + 1 CO2
20281,0.5 Gd2O3 + 0.5 V2O5 ,1 GdVO4 ; target GdVO4 with additives Eu via Eu2O3 ; target GdVO4 with additives Eu via Eu2O3
20282,0.85 CeO2 + 0.075 Gd2O3 + 0.038 O2 ,1 Ce0.85Gd0.15O2
20283,0.85 CeO2 + 0.038 O2 + 0.075 Y2O3 ,1 Ce0.85Y0.15O2
20284,2 Sc2O3 + 3 ZrO2 ,1 Sc4Zr3O12
20285,51 H3PO4 + 2.5 La2O3 + 17.5 Na2CO3 + 4 Nb2O5 + 1 WO3 ,1 35NaO1/2-WO3-8NbO5/2-5LaO3/2-51PO5/2 + 17.5 CO2 + 76.5 H2O
20286,0.05 BaF2 + 0.95 LaF3 ,1 La0.95Ba0.05F2.95
20287,3 CaCO3 + 1.5 Ga2O3 + 4 H3BO3 + 0.75*x+0.75*y O2 + 0.5-0.5*x-0.5*y Y2O3 ,"1 Ca3Y1-x-y(GaO)3(BO3)4 + 3 CO2 + 6 H2O ; target Ca3Y1-x-y(GaO)3(BO3)4 with additives xTb3+, yEu3+ via Eu2O3, Tb4O7 ; target Ca3Y1-x-y(GaO)3(BO3)4 with additives xTb3+, yEu3+ via Eu2O3, Tb4O7"
20288,1 CaCO3 + 1 MnO2 ,1 CaMnO3 + 1 CO2
20289,1-x-y BaCO3 + 1 HfO2 + 0.5*x+0.5*y O2 + 3 SiO2 ,"1 Ba1-x-yHfSi3O9 + 1-x-y CO2 ; target Ba1-x-yHfSi3O9 with additives xEu2+, yPr3+ via Eu2O3, Pr6O11 ; target Ba1-x-yHfSi3O9 with additives xEu2+, yPr3+ via Eu2O3, Pr6O11"
20290,0.5*x Eu2O3 + 7 H3BO3 + 1 PbO + 0.25-0.25*x Tb4O7 ,1 PbTb1-xEuxB7O13 + 10.5 H2O + 0.125-0.125*x O2
20291,1 BaCO3 + 9 H3BO3 + 0.5 Li2CO3 ,"1 LiBaB9O15 + 1.5 CO2 + 13.5 H2O ; target LiBaB9O15 with additives Ce, Eu via CeO2, Eu2O3 ; target LiBaB9O15 with additives Ce, Eu via CeO2, Eu2O3"
20292,0.667-0.333*x Co3O4 + 0.25 La2O3 + x NiO + 0.542+0.167*x O2 + 2.5 SrCO3 ,1 Sr2.5La0.5Co2-xNixO7 + 2.5 CO2
20293,1.5 Al2O3 + 1.5 CaCO3 + 0.5 CaF2 ,1 Ca2Al3O6F + 1.5 CO2
20294,1 BaCO3 + 0.25*x O2 + 0.5*x Sc2O3 + 1-x TiO2 ,1 BaTi1-xScxO3 + 1 CO2
20295,2.334-3.5*x La2O3 + 1.5*x Li2CO3 + 7 TiO2 ,1 Li3xLa2/3-xTiO3 + 10.5*x CO2 + 0.002 O2
20296,1 SiO2 + 3 SrCO3 ,1 Sr3SiO5 + 3 CO2
20297,1 Bi + 1-x Cu + x Fe + 0.5 O2 + 1 Se ,1 BiCu1-xFexSeO
20298,1 BeO + 3 H3BO3 + 0.5 La2O3 ,1 LaBeB3O7 + 4.5 H2O
20299,1 (NH4)2HPO4 + 1-y FeC2O4\u00b79H2O + 0.5 Li2CO3 + y MnCO3 + 0.5-0.5*y O2 ,1 LiFe1-yMnyPO4 + 2.5-y CO2 + 10.5-9*y H2O + 2 NH3
20300,2 H3PO4 + 0.05 In2O3 + 0.025 O2 + 0.9 SnO2 ,1 Sn0.9In0.1P2O7 + 3 H2O
20301,0.9-x CeO2 + 0.05 Eu2O3 + 0.5*x La2O3 + 0.025+0.25*x O2 ,1 Eu0.1Ce0.9-xRExO2; RE = La
20302,0.9-x CeO2 + 0.05 Eu2O3 + 0.025+0.25*x O2 + 0.5*x Y2O3 ,1 Eu0.1Ce0.9-xRExO2; RE = Y
20303,1 Fe2O3 + 1 H2TeO4\u00b72H2O + 3 SrCO3 ,1 Sr3Fe2TeO9 + 3 CO2 + 3 H2O
20304,3 BaCO3 + 1 Fe2O3 + 1 H2TeO4\u00b72H2O ,1 Ba3Fe2TeO9 + 3 CO2 + 3 H2O
20305,2 Al(OH)3 + 3 CaCO3 + 3 CeO2 ,1 Ca3(1)-Ce3Al2O6 + 3 CO2 + 3 H2O + 3 O2
20306,1 Sn + 1-1.25*x Te + 0.25*x TeI4 ,1 SnTe1-xIx
20307,z Gd + 1-z Sn + 1 Te ,1 GdzSn1-zTe
20308,1 H3BO3 + 2 NH4H2PO4 + 1 PbO + 0.5 Rb2CO3 ,1 RbPbBP2O8 + 0.5 CO2 + 4.5 H2O + 2 NH3
20309,x Al2O3 + 2 CaCO3 + 1 SiO2 ,1 Ca2Si1-Al2xO4 + 2 CO2 + 1.5*x O2
20310,x Al2O3 + 2-x CaCO3 + 1-x SiO2 ,1 Ca2-xAlx(SiO4)1-x(AlO4)x + 2-x CO2
20311,1.5*x Al2O3 + 2-x CaCO3 + 1-x SiO2 ,1 Ca2-xAlxSi1-xAl2xO4 + 2-x CO2 + 0.75*x O2
20312,0.4 Ga2O3 + 0.45 La2O3 + 0.2 MgO + 0.075 O2 + 0.1 SrCO3 ,1 La0.9Sr0.1Ga0.8Mg0.2O3 + 0.1 CO2
20313,0.6 CeO2 + 0.2 La2O3 + 0.1 O2 ,1 La0.4Ce0.6O2
20314,2-x BaCO3 + 1.25 O2 + 1 Ru + x SrCO3 + 0.5 Y2O3 ,1 Ba2-xSrxYRuO6 + 2 CO2
20315,0.5 Ga2O3 + 5 GeO2 + 1.425-0.5*x La2O3 + 0.112+0.75*x O2 ,"1 La2.85-xGaGe5O16 ; target La2.85-xGaGe5O16 with additives 0.15Tb3+, xEu3+ via Eu2O3, Tb4O7 ; target La2.85-xGaGe5O16 with additives 0.15Tb3+, xEu3+ via Eu2O3, Tb4O7"
20316,1 Lu2O3 + 0.5 O2 + 1 TeO2 ,1 Lu2TeO6
20317,1 BaCO3 + 0.5 K2CO3 + 3 MoO3 + 0.5 Y2O3 ,1 KBaY(MoO4)3 + 1.5 CO2
20318,7 (NH4)2HPO4 + 0.5 Al2O3 + 9 CaCO3 ,1 Ca9R(PO4)7 + 9 CO2 + 10.5 H2O + 14 NH3; R = Al ; target Ca9R(PO4)7 with additives Eu via Eu2O3 ; target Ca9R(PO4)7 with additives Eu via Eu2O3
20319,3 CaCO3 + 1 Sc2O3 + 3 SiO2 ,1 Ca3Sc2Si3O12 + 3 CO2 ; target Ca3Sc2Si3O12 with additives 0.05Ce3+ via CeO2 ; target Ca3Sc2Si3O12 with additives 0.05Ce3+ via CeO2
20320,3 CaCO3 + y MgO + 0.25*y O2 + 1-0.5*y Sc2O3 + 3 SiO2 ,1 Ca3(Sc2-yMgy)Si3O12 + 3 CO2 ; target Ca3(Sc2-yMgy)Si3O12 with additives 0.01Pr3+ via Pr(NO3)3 ; target Ca3(Sc2-yMgy)Si3O12 with additives 0.01Pr3+ via Pr(NO3)3
20321,1 BaCO3 + 3 SiO2 + 1 ZrO2 ,"1 BaZrSi3O9 + 1 CO2 ; target BaZrSi3O9 with additives xEu2+, yPr3+ via Eu2O3, Pr6O11 ; target BaZrSi3O9 with additives xEu2+, yPr3+ via Eu2O3, Pr6O11"
20322,0.475 Bi2O3 + 0.05 CaCO3 + 0.5 Fe2O3 ,1 Bi0.95Ca0.05FeO2.975 + 0.05 CO2
20323,0.35 Bi2O3 + 0.3 CaCO3 + 0.5 Fe2O3 ,1 Bi0.70Ca0.30FeO2.85 + 0.3 CO2
20324,1 KH2PO4 + 4 MgO + 2 NH4H2PO4 ,1 KMg4(PO4)3 + 4 H2O + 2 NH3 ; target KMg4(PO4)3 with additives Eu via Eu2O3 ; target KMg4(PO4)3 with additives Eu via Eu2O3
20325,x Ga2O3 + 1-x In2O3 ,1 (In1-xGax)2O3
20326,1 CeO2 + 2 KH2PO4 ,1 K2O-P2O5-CeO2 + 2 H2O
20327,1 BaCO3 + 0.06 CeO2 + 0.97 Lu2O3 + 0.25*m Si3N4 + 3-0.75*m SiO2 ,1 Ce0.06BaLu1.94Si3O10-Nm + 1 CO2 + 0.015-0.75*m O2
20328,1 BaCO3 + 1-0.5*y Lu2O3 + 0.75*y O2 + 3 SiO2 ,1 BaLu2-ySi3O10 + 1 CO2 ; target BaLu2-ySi3O10 with additives yTb3+ via Tb4O7 ; target BaLu2-ySi3O10 with additives yTb3+ via Tb4O7
20329,1 BaCO3 + 1-0.5*x-0.5*z Lu2O3 + 0.75*x+0.75*z O2 + 3 SiO2 ,"1 BaLu2-x-zSi3O10 + 1 CO2 ; target BaLu2-x-zSi3O10 with additives xCe3+, zTb3+ via CeO2, Tb4O7 ; target BaLu2-x-zSi3O10 with additives xCe3+, zTb3+ via CeO2, Tb4O7"
20330,6 GeO2 + 5-0.5*x La2O3 + x SrCO3 ,1 La10-xSrxGe6O27-x/2 + x CO2
20331,1.5 Al2O3 + 1.5 CaCO3 + 0.5 CaF2 ,1 Ca2Al3O6F + 1.5 CO2
20332,1.5 Al2O3 + 1.5-x CaCO3 + 0.5 CaF2 + 0.5*x Eu2O3 ,1 EuxCa2-xAl3O6F + 1.5-x CO2 + 0.25*x O2
20333,-0.067 Co3O4 + 0.1 Nb2O5 + 1 SrCoO3 ,1 SrCo0.8Nb0.2O3 + 0.117 O2
20334,-0.067 Co3O4 + 1 SrCoO3 + 0.1 Ta2O5 ,1 SrCo0.8Ta0.2O3 + 0.117 O2
20335,2.5 Al2O3 + 1.5 Y2O3 ,1 Y3Al5O12
20336,0.5-0.5*x Fe2O3 + 0.5*x Ga2O3 + 2 SrCO3 + 0.5 Ta2O5 ,1 Sr2Fe1-xGaxTaO6 + 2 CO2
20337,2*x CaCO3 + 1-x Gd2O3 + x Ta2O5 + 2-2*x ZrO2 ,1 (CaxGd1-x)2(Zr1-xMx)2O7 + 2*x CO2; M = Ta
20338,2*x CaCO3 + 1-x Gd2O3 + x Nb2O5 + 2-2*x ZrO2 ,1 (CaxGd1-x)2(Zr1-xMx)2O7 + 2*x CO2; M = Nb
20339,1.5 Nb2O5 + 0.5 Nd2O3 + 3 SrCO3 ,1 Sr3NdNb3O12 + 3 CO2
20340,1.5-0.5*x Nb2O5 + 0.5 Nd2O3 + 0.25*x O2 + 3 SrCO3 + x TiO2 ,1 Sr3NdNb3-xTixO12 + 3 CO2
20341,1 NiO + 0.333 Pr6O11 ,1 Pr2NiO4 + 0.333 O2
20342,1 (NH4)2HPO4 + 0.5 Rb2CO3 + 1 ZnO ,1 RbZnPO4 + 0.5 CO2 + 1.5 H2O + 2 NH3 ; target RbZnPO4 with additives Eu via Eu2O3 ; target RbZnPO4 with additives Eu via Eu2O3
20343,1-x CeO2 + 0.5*x In2O3 + 0.25*x O2 ,1 Ce1-xInxO2
20344,1 BaCO3 + 1-x CeO2 + 0.5*x In2O3 + 0.25*x O2 ,1 BaCe1-xInxO3 + 1 CO2
20345,1 BaCO3 + 0.9 CeO2 + 0.05 In2O3 ,1 BaCe0.9In0.1O2.95 + 1 CO2
20346,1 BaCO3 + 0.8 CeO2 + 0.1 In2O3 ,1 BaCe0.8In0.2O2.9 + 1 CO2
20347,0.5 Mn2O3 + 1 Na2CO3 + 0.75 O2 ,1 Na2MnO4 + 1 CO2
20348,1 BaCO3 + 0.667 Co3O4 + 0.5 Nd2O3 ,1 NdBaCo2O5 + 1 CO2 + 0.083 O2
20349,0.02 MgO + 0.98 ZnO ,1 Mg0.02Zn0.98O
20350,0.1 MgO + 0.9 ZnO ,1 Mg0.1Zn0.9O
20351,x Ag2O + 8 Al2O3 + 65 B2O3 + y Eu2O3 + 27 Na2CO3 ,1 65B2O3-27Na2O-8Al2O3-yEu2O3-xAg2O + 27 CO2
20352,2-2*y CaCO3 + 4-4*x Gd2O3 + y+6*x O2 + 6 SiO2 ,1 Ca2-2yGd8-8x(SiO4)6O2 + 2-2*y CO2 ; target Ca2-2yGd8-8x(SiO4)6O2 with additives xCe3+ via CeO2 ; target Ca2-2yGd8-8x(SiO4)6O2 with additives xCe3+ via CeO2
20353,2 NaOH + 3 TiO2 ,1 Na2Ti3O7 + 1 H2O
20354,1-x BaCO3 + 0.667 Co3O4 + 0.5 Gd2O3 + 0.417 O2 + x SrCO3 ,1 GdBa1-xSrxCo2O6 + 1 CO2
20355,0.25 Bi2O3 + 0.25 Na2CO3 + 1 TiO2 ,1 (Na1/2Bi1/2)TiO3 + 0.25 CO2
20356,0.25 Bi2O3 + 0.25 Na2CO3 + 1 TiO2 ,1 Na0.5Bi0.5TiO3 + 0.25 CO2
20357,1 Nb2O5 + 2 SrCO3 ,1 Sr2Nb2O7 + 2 CO2
20358,1.5 BaCO3 + 0.5 BaF2 + 3 SiO2 + 1.5 Y2O3 ,1 Ba2Y3(SiO4)3F + 1.5 CO2 ; target Ba2Y3(SiO4)3F with additives Eu via Eu2O3 ; target Ba2Y3(SiO4)3F with additives Eu via Eu2O3
20359,1 (NH4)2HPO4 + 1-x BaCO3 + 0.5*x Eu2O3 + 0.5 Rb2CO3 ,1 EuxRbBa1-xPO4 + 1.5-x CO2 + 1.5 H2O + 2 NH3 + 0.25*x O2
20360,1 HfO2 + 1 SiO2 ,1 HfSiO4
20361,7 (NH4)2HPO4 + 4*x Eu2O3 + 1 MgO + 0.5 Sc2O3 + 8-8*x SrCO3 ,1 (Sr1-xEux)8MgSc(PO4)7 + 8-8*x CO2 + 10.5 H2O + 14 NH3 + 2*x O2 ; target (Sr1-xEux)8MgSc(PO4)7 with additives xEu2+ via Eu2O3 ; target (Sr1-xEux)8MgSc(PO4)7 with additives xEu2+ via Eu2O3
20362,0.5 Fe2O3 + 1 MoO3 + 2 SrCO3 ,1 Sr2FeMoO6 + 2 CO2 + 0.25 O2
20363,0.5-0.5*x Bi2O3 + 0.5 Cs2CO3 + 0.5*x Eu2O3 + 1 Nb2O5 ,1 CsBi1-xEuxNb2O7 + 0.5 CO2
20364,0.5 Na2CO3 + 0.5 Nb2O5 ,1 NaNbO3 + 0.5 CO2
20365,1 FeO + 1 Li2SiO3 ,1 Li2FeSiO4
20366,0.5-0.5*x Fe2O3 + 0.5*x Ga2O3 + 0.15 La2O3 + 0.175 O2 + 0.7 SrCO3 ,1 La0.3Sr0.7Fe1-xGaxO3 + 0.7 CO2
20367,2.8 AlN + 0.467 Ca3N2 + 3.067 Si3N4 ,"1 Ca1.4-Al2.8Si9.2N16 ; target Ca1.4-Al2.8Si9.2N16 with additives xCe3+ via Ce, CeN ; target Ca1.4-Al2.8Si9.2N16 with additives xCe3+ via Ce, CeN"
20368,2*z AlN + -0.067+0.333*z Ca3N2 + -0.133+2.667*z Ce + 0.133-2.667*z CeN + 4 Si3N4 ,1 Caz-0.20Al2zSi12-Ce0N16
20369,4-x CaCO3 + 0.5*x Eu2O3 + 2 NH4H2PO4 ,1 EuxCa4-x(PO4)2O + 4-x CO2 + 3 H2O + 2 NH3 + 0.25*x O2
20370,1 La(NO3)3\u00b7xH2O + 1.5 Sb2O5 + 3 [OH-] ,1 LaSb3O9 + 1.5+x H2O + 3 [NO3-]
20371,1-0.5*x Ag2CO3 + 1 MoO3 + 0.5*x Na2CO3 ,1 (NaxAg2-x)MoO4 + 1 CO2
20372,1 Ni + 0.95 Sn + 1-x Ti + x Zr ,1 Ti1-xZrxNiSn0.95
20373,1 Hf + 1 Ni + 1 Sn ,1 HfNiSn
20374,0.5 Hf + 1 Ni + 1 Sn + 0.5 Zr ,1 Zr0.5Hf0.5NiSn
20375,1 Ni + 1 Sn + 0.5 Ti + 0.5 Zr ,1 Ti0.5Zr0.5NiSn
20376,0.233 Co3O4 + 0.5 Li2CO3 + 0.3 NiO + 0.133 O2 ,1 LiNi0.30Co0.70O2 + 0.5 CO2
20377,1 AlN + 1-x BaCO3 + 1.5 Si3N4 + 0.5 SiO2 + x SrCO3 ,1 (Ba1-xSrx)AlSi5O2N7 + 1 CO2 ; target (Ba1-xSrx)AlSi5O2N7 with additives Yb via Yb2O3 ; target (Ba1-xSrx)AlSi5O2N7 with additives Yb via Yb2O3
20378,1-0.5*x Nb2O5 + 1 SnO + 0.5*x Ta2O5 ,1 SnNb2-xTaxO6
20379,0.5 Bi2O3 + 0.5 Fe2O3 ,1 BiFeO3
20380,x Cr(NO3)3\u00b79H2O + 0.25*x O2 + 1 Sr(NO3)2 + 1-x TiO2 + 2+3*x [OH-] ,1 SrTi1-xCrxO3 + 1+10.5*x H2O + 2+3*x [NO3-]
20381,0.5 Al2O3 + 0.5 La2O3 ,"1 LaAlO3 ; target LaAlO3 with additives Eu, Si via Eu2O3, SiO2 ; target LaAlO3 with additives Eu, Si via Eu2O3, SiO2"
20382,0.5-0.5*z Al2O3 + 0.5*x Eu2O3 + 0.5 La2O3 + z SiO2 + y SrCO3 ,1 La(1-x-y)EuxSryAl1-zSizO3 + y CO2 + 0.5*y+0.25*z+0.75*x O2
20383,2 Li2CO3 + 5 TiO2 ,1 Li4Ti5O12 + 2 CO2
20384,0.5-0.5*x Bi2O3 + 0.5 V2O5 + 0.5*x Y2O3 ,1 (Bi1-xYx)VO4
20385,0.625 Fe2O3 + 0.75 NiO + 0.688-0.25*x O2 + 3-x SrCO3 + 0.5*x Y2O3 ,1 Sr3-xYxFe1.25Ni0.75O7 + 3-x CO2
20386,2 CeO2 + 1-0.5*x La2O3 + 0.5*x Nd2O3 ,1 La2-xNdxCe2O7
20387,7 Al2O3 + 12 CaO ,1 12CaO-7Al2O3
20388,0.2 4MgCO3-Mg(OH)2\u00b75H2O + 1.5 Al2O3 + 1 H3SiO4 + 1.5 Lu2O3 ,1 Lu3MgAl3SiO12 + 0.8 CO2 + 2.7 H2O + 0.25 O2 ; target Lu3MgAl3SiO12 with additives xCe via CeO2 ; target Lu3MgAl3SiO12 with additives xCe via CeO2
20389,0.2 4MgCO3-Mg(OH)2\u00b75H2O + 1.5 Al2O3 + x CeO2 + 1 H3SiO4 + 1.5-0.5*x Lu2O3 ,1 Lu3-xCexMgAl3SiO12 + 0.8 CO2 + 2.7 H2O + 0.25+0.25*x O2
20390,6-x-y BaCO3 + y CaCO3 + 0.5 Ga2O3 + 4.5 Nb2O5 + x SrCO3 ,1 Ba6-x-ySrxCayGaNb9O30 + 6 CO2
20391,0.5 CaCl2 + 1.5-2*x CaO + x Eu2O3 + 1 NH4H2PO4 ,1 (Ca1-xEux)2PO4Cl + 1.5 H2O + 1 NH3 + 0.5*x O2
20392,x BaCO3 + 0.525-0.525*x Bi2O3 + 0.5*(1-x)*(1-y) Fe2O3 + 0.5*y*(1-x) Sc2O3 + x TiO2 ,1 (1-x)Bi1.05Fe1-yScyO3-xBaTiO3 + x CO2 + -0.712+0.712*x+0.75*y*(1-x)+0.75*(1-x)*(1-y) O2
20393,1.5 Bi2O3 + 0.5-0.5*x Nb2O5 + 0.5*x O2 + 0.5*x Yb2O3 ,1 Bi3Nb1-xYbxO7
20394,1-x BaCO3 + 0.5 La2O3 + 0.5 O2 + 0.5 Sb2O3 + x SrCO3 + 1 ZnO ,1 LaBa1-xSrxZnSbO6 + 1 CO2
20395,1-x BaCO3 + 0.025 Eu2O3 + 0.475 La2O3 + 0.5 O2 + 0.5 Sb2O3 + x SrCO3 + 1 ZnO ,1 La0.95Eu0.05Ba1-xSrxZnSbO6 + 1 CO2 ; target La0.95Eu0.05Ba1-xSrxZnSbO6 with additives Eu via Eu2O3 ; target La0.95Eu0.05Ba1-xSrxZnSbO6 with additives Eu via Eu2O3
20396,0.5*y Eu2O3 + 0.5-0.5*y La2O3 + 0.5 O2 + 0.5 Sb2O3 + 1 SrCO3 + 1 ZnO ,1 La1-yEuySrZnSbO6 + 1 CO2
20397,1.5*x Eu2O3 + 0.5-0.5*y La2O3 + 3 NH4H2PO4 + 0.5 Na2CO3 + 2.5-3*x SrCO3 + 0.5 SrF2 + 0.25*y Tb4O7 ,1 Sr3-3xEu3xLa1-yTbyNa(PO4)3F + 3-3*x CO2 + 4.5 H2O + 3 NH3 + 0.125*y+0.75*x O2
20398,0.5-0.5*y La2O3 + 3*z MnCO3 + 3 NH4H2PO4 + 0.5 Na2CO3 + 2.5-3*z SrCO3 + 0.5 SrF2 + 0.25*y Tb4O7 ,1 Sr3-3zMn3zLa1-yTbyNa(PO4)3F + 3 CO2 + 4.5 H2O + 3 NH3 + 0.125*y O2
20399,0.5 La2O3 + 1 TiO2 ,1 LaMO3 + 0.25 O2; M = Ti
20400,0.5 Fe2O3 + 0.5 La2O3 ,1 LaMO3; M = Fe
20401,0.5 La2O3 + 1 MgO + 0.25 O2 ,1 LaMO3; M = Mg
20402,0.5 Fe2O3 + 0.5 La2O3 ,1 LaFeO3
20403,0.5 La2O3 + 0.5 MgO + 0.5 TiO2 ,1 LaTi0.5Mg0.5O3
20404,0.143*x (NH4)6Mo7O24\u00b74H2O + 2-x CeO2 + 1 Y2O3 ,1 Y2Ce2-xMxO7 + x H2O + 0.857*x NH3 + 0.5*x O2; M = Mo
20405,2-x CeO2 + 0.083*x O2 + 0.167*x Pr6O11 + 1 Y2O3 ,1 Y2Ce2-xMxO7; M = Pr
20406,1 Al + 1 Fe2O3 + 1 O2 ,1 Fe2O3+2Al
20407,0.5 Cu2O + 1 MnCO3 + 0.25 O2 ,1 CuMO2 + 1 CO2; M = Mn
20408,0.5 Cu2O + 0.5 Fe2O3 ,1 CuMO2; M = Fe
20409,0.5 Al2O3 + 0.5 Cu2O ,1 CuMO2; M = Al
20410,0.5 Cu2O + 0.5 Ga2O3 ,1 CuMO2; M = Ga
20411,5.5 Al2O3 + 0.5 La2O3 + 1 MgO ,1 LaMgAl11O19
20412,0.9 Gd2O3 + 0.1 Yb2O3 + 2 ZrO2 ,1 (Gd0.9Yb0.1)2Zr2O7
20413,4.5 Al2O3 + 0.5 La2O3 + 2 TiO2 ,1 LaTi2Al9O19
20414,2-x BaCO3 + 3 CuO + 0.083-0.417*x O2 + 0.167+0.167*x Pr6O11 ,1 Pr1+xBa2-xCu3O7 + 2-x CO2
20415,0.5-0.5*x Fe2O3 + 0.333*x Mn3O4 + y TiO2 ,1 MnxFe1-xTiyO + 0.25+y-0.083*x O2
20416,2 MnO + 1 NiO + 0.5 O2 ,1 NiMn2O4
20417,2-2*x CeO2 + 1 Eu2O3 + 2*x ZrO2 ,1 Eu2(Ce1-xZrx)2O7
20418,1 Bi2O3 + 1-x Nb2O5 + 1 SrCO3 + x V2O5 ,1 SrBi2(VxNb1-x)2O9 + 1 CO2
20419,1 Bi2O3 + 1-x Nb2O5 + 1 SrCO3 + x V2O5 ,1 SrBi2(Nb1-xVx)2O9 + 1 CO2
20420,0.5*x Fe2O3 + 0.5 Li2CO3 + 2-x MnCO3 + 0.75-0.25*x O2 ,1 LiMn2-xFexO4 + 2.5-x CO2
20421,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2 ; target SrTiO3 with additives Y via Y2O3 ; target SrTiO3 with additives Y via Y2O3
20422,1-x SrCO3 + 1 TiO2 + 0.5*x Y2O3 ,1 YxSr1-xTiO3 + 1-x CO2 + 0.25*x O2
20423,x BaF2 + 100-x TeO2 ,1 (100-x)TeO2-xBaF2
20424,0.25 Bi2O3 + 0.25 Na2CO3 + 1 ZrO2 ,1 (Na0.5Bi0.5)ZrO3 + 0.25 CO2
20425,0.5 Al2O3 + 2 GeO2 + 0.5 La2O3 ,1 LaAlGe2O7 ; target LaAlGe2O7 with additives Pr via Pr6O11 ; target LaAlGe2O7 with additives Pr via Pr6O11
20426,0.25 Fe2O3 + 0.25 Ga2O3 + 0.5 La2O3 ,1 LaFe0.5Ga0.5O3
20427,x CoO + 1 Fe2O3 + 1-x ZnO ,1 Zn1-xCoxFe2O4
20428,0.5*x Cr2O3 + 0.334+0.166*x La2O3 + 1-x MnO2 + 0.333-0.333*x SrCO3 ,1 Lax/3+2/3Sr1/3-x/3Mn1-xCrxO3 + 0.333-0.333*x CO2 + 0.167-0.167*x O2
20429,1 Al2O3 + 1 SrCO3 ,1 SrAl2O4 + 1 CO2 ; target SrAl2O4 with additives Eu via Eu2O3 ; target SrAl2O4 with additives Eu via Eu2O3
20430,1 Gd2O3 + 1 Na2CO3 + 2 PbO + 4 TiO2 + 2 V2O5 + 2 WO3 ,1 Na2Pb2Gd2W2Ti4V4O30 + 1 CO2
20431,1 Eu2O3 + 1 Na2CO3 + 2 PbO + 4 TiO2 + 2 V2O5 + 2 WO3 ,1 Na2Pb2Eu2W2Ti4V4O30 + 1 CO2
20432,1 BaCO3 + 0.5 Bi2O3 + 0.25 O2 ,1 BaBiO3 + 1 CO2
20433,4.835 La2O3 + 6 SiO2 ,1 La9.67Si6O26.5 + 0.002 O2
20434,0.5 Al2O3 + 1 La2O3 + 0.5 Ta2O5 ,1 La2AlTaO7
20435,1.5 La2O3 + 0.5 Ta2O5 ,1 La3TaO7
